Nº da ordem;Texto breve;Operação;Texto breve operação;Centro de trabalho;Centro de trabalho Reponsável;Código ABC;Condições da instalação;Nº do equipamento;Centro de trabalho;Local de instalação;Plano de manutenção;Status do Sistema Operação;Status do sistema;Status do usuário;Data-base do início;Data-base do fim;Início Programado;Fim Programado;Data de início real;Hora de início real;Data de fim real;Hora de fim real;Trabalho real;Trabalho da operação;Unidade de trabalho;Data de entrada;Data de referência;Tipo de ordem;Nº da nota;Tipo de nota;Centro;Data da nota;Hora da nota;Data de encerramento da nota;Hora de encerramento da nota;Data de início da avaria;Hora de início da avaria;Data de fim da avaria;Hora de fim da avaria;Duração da parada;Status da nota;Sintoma do dano;Texto breve do dano;Código da causa;Texto breve da causa;Texto longo da causa;Hora início cent.trab.;Hora fim cent.trab.;Capacidade cent.trab.;Tipo de Atividade de Manutenção;Denominação TAM;Custos Planejados;Custos Reais;Moeda;Nº conta do Razão;Centro de custo receptor;Grupo Códigos;Parte do objeto;Nome responsável controle técnico;Código medidas;Texto descritivo medidas;Código de ação;Texto descritivo ações;Texto breve nota;Texto Parte do objeto
4150927;motor do arco n funciona;10;* motor do arco n funciona * * Operação 10 - Angelo Luiz Brust das 05/01/2023 10:45 às 05/01/2023 11:00   - orientado colega Matheus a realizar a atividade, o mesmo removeu a   valvula e identificou a mesama trancada devido a fluido de solda,   proveniente de ma vedação de flange, foi realizada vedação da flange   para melhorar o funcionamento..;LIDER_FA;LIDER_FA;A;;SAS001;SAS001;1000-FABCE-GRSOL;;CONF ENTE IMPR;ENTE CONF CAPC DMNV IMPA MOME NOLQ;EXEC;04/01/2023;;05/01/2023;05/01/2023;05/01/2023;10:45:00;05/01/2023;11:00:00;0,250;0,0;H;05/01/2023;10/01/2023;PM01;10247855;M2;1000;04/01/2023;14:24:07;10/01/2023;14:36:12;04/01/2023;14:24:07;05/01/2023;11:00:00;20,60;MSEN MSIM ORDA;2017;NÃO ACIONA;1026;EMPERRAMENTO;;07:00:00;16:28:00;11,01;001;Inspeção;3,93;2,70;BRL;0031102902;PB2-81340;;;;;;;;motor do arco n funciona;
4150928;sinal de alarme;10;* sinal de alarme * * Operação 10 - Angelo Luiz Brust das 05/01/2023 08:30 às 05/01/2023 08:45   - operador comentou que esta dando alarme de emergencia na estação 2.   Após um tempo voltou a funcionar, Ja exite ordem M1 para tomar ação.   4147808;LIDER_FA;LIDER_FA;A;;ROS007;;1000-FABCE-MLSOL;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;04/01/2023;;05/01/2023;05/01/2023;05/01/2023;08:30:00;05/01/2023;08:45:00;0,250;0,0;H;05/01/2023;10/01/2023;PM01;10247858;M2;1000;04/01/2023;15:13:40;10/01/2023;14:35:23;04/01/2023;15:13:40;05/01/2023;08:45:00;17,52;MSEN MSIM ORDA;2002;ALARME;1015;DESAJUSTADA;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-81440;;;;;;;;sinal de alarme;
4150929;jato003;10;* jato003 * Operação 10 - Claudiomiro da Silva das 05/01/2023 07:40 às 05/01/2023   08:50 - Verificado ponto de lubrificação , verificado aperto conjunto   turbinas , regulado corrente das mesmas , acompanhado processo.;LIDER_PI;LIDER_PI;E;;JAG003;;1000-PINTU;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;07:40:00;05/01/2023;08:50:00;1,167;0,0;H;05/01/2023;13/01/2023;PM01;10247901;M2;1000;05/01/2023;07:58:34;13/01/2023;07:51:52;05/01/2023;07:58:34;05/01/2023;08:30:00;0,52;MSEN MSIM ORDA;2031;PREVENTIVA;1001;PREVENTIVA;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-81160;;;;;;;;jato003;
4150930;Motor dos rolos de saida solto;10;* Motor dos rolos de saida solto * * OM,,Op.,,TipoOrdem,,Equip.,,Iniciar2,,Final,,Técnico,,Descrição,,Duração   h,,Encer. * 4150930,,10,,Parada,,Pex048,,05/01/2023 08:00:00,,09:07:00,,John Cesar   Kensy,,parafusos de fixação do conjunto do motor soltos, substituído   parafusos m6 e torqueado, ajustado também tempo de acionamento do rolo   de expulsão de 1s para 15 s.,,1,12,,Sim;LIDER_SL;LIDER_SL;E;;PEX048;;1000-FABSL-SLPER-PEX048;;CNPA ENTE IMPR;ENTE CNPA IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;08:00:00;05/01/2023;09:15:00;2,367;0,0;H;05/01/2023;24/01/2023;PM01;10247900;M2;1000;05/01/2023;07:53:58;24/01/2023;20:27:30;05/01/2023;07:53:58;05/01/2023;09:07:00;1,22;MSEN MSIM ORDA;;;;;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Motor dos rolos de saida solto;
4150931;nao esta funcionando;10;* nao esta funcionando * Operação 10 - Felipe Castro Almeida das 09/01/2023 11:00 às 09/01/2023   11:50 - reposicionado linha e verificado carros.;LIDER_PI;LIDER_PI;F;;BOT010;;1000-PINTU;;CONF ENTE IMPR;ENTE CONF IMPR CAPC DMNV MOME NOLQ;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;08:52:00;05/01/2023;10:45:00;1,883;0,0;H;05/01/2023;13/01/2023;PM01;10247908;M2;1000;05/01/2023;08:14:25;13/01/2023;07:50:26;05/01/2023;08:14:25;05/01/2023;09:30:00;1,26;MSEN MSIM ORDA;2024;NÃO GERA PRESSÃO;1027;ENTUPIMENTO;;00:00:00;00:00:00;0,00;001;Inspeção;939,56;1.614,97;BRL;0031102902;PB2-81160;;;;;;;;nao esta funcionando;
4150932;Serra não baixa o corte;30;"* COMPRA DE FONTE; * ,,está sendo tratada na 4151331";MANUTADM;LIDER_SL;A;;SFI007;PER014;1000-FABSL-SLPER-PERTUB;;ENTE IMPR;ENTE CNPA IMPR CAPC DMNV NOLQ;AGMA;05/01/2023;;05/01/2023;31/01/2023;;00:00:00;;00:00:00;0,000;0,0;H;05/01/2023;17/01/2023;PM01;10247905;M2;1000;05/01/2023;08:11:23;17/01/2023;13:29:09;05/01/2023;08:11:23;05/01/2023;14:53:00;6,69;MSEN MSIM ORDA;2025;NÃO LIGA;1068;SOBRE TENSÃO;;07:00:00;16:28:00;7,62;001;Inspeção;2,00;0,00;BRL;0031102902;PB2-81240;;;;;;;;Serra não baixa o corte;
4150932;Serra não baixa o corte;20;instalar fonte;LIDER_SL;LIDER_SL;A;;SFI007;PER014;1000-FABSL-SLPER-PERTUB;;ENTE IMPR;ENTE CNPA IMPR CAPC DMNV NOLQ;AGMA;05/01/2023;;05/01/2023;31/01/2023;;00:00:00;;00:00:00;0,000;1,0;H;05/01/2023;17/01/2023;PM01;10247905;M2;1000;05/01/2023;08:11:23;17/01/2023;13:29:09;05/01/2023;08:11:23;05/01/2023;14:53:00;6,69;MSEN MSIM ORDA;2025;NÃO LIGA;1068;SOBRE TENSÃO;;07:00:00;16:28:00;7,62;001;Inspeção;0,00;0,00;;0031102902;PB2-81240;;;;;;;;Serra não baixa o corte;
4150932;Serra não baixa o corte;10;Serra não baixa o corte;LIDER_SL;LIDER_SL;A;;SFI007;PER014;1000-FABSL-SLPER-PERTUB;;CNPA ENTE IMPR;ENTE CNPA IMPR CAPC DMNV NOLQ;AGMA;05/01/2023;;05/01/2023;31/01/2023;05/01/2023;09:00:00;05/01/2023;15:00:00;9,567;0,0;H;05/01/2023;17/01/2023;PM01;10247905;M2;1000;05/01/2023;08:11:23;17/01/2023;13:29:09;05/01/2023;08:11:23;05/01/2023;14:53:00;6,69;MSEN MSIM ORDA;2025;NÃO LIGA;1068;SOBRE TENSÃO;;07:00:00;16:28:00;7,62;001;Inspeção;0,00;0,00;;0031102902;PB2-81240;;;;;;;;Serra não baixa o corte;
4150933;Martelo não baixa;20;compra de modulo DELEM;MANUTADM;LIDER_SL;A;;PVI030;PVI030;1000-FABSL-SLEST;;ENTE IMPR;ENTE CNPA IMPR CAPC DMNV NOLQ;AGMA;05/01/2023;;09/01/2023;09/01/2023;;00:00:00;;00:00:00;0,000;0,0;H;05/01/2023;12/01/2023;PM01;10247907;M2;1000;05/01/2023;08:13:26;09/01/2023;11:04:05;05/01/2023;08:13:26;05/01/2023;16:00:00;7,78;MSEN MSIM ORDA;2025;NÃO LIGA;1062;QUEIMADO(A);;07:00:00;16:28:00;5,50;001;Inspeção;0,00;0,00;BRL;0031102902;PB2-81230;;;;;;;;Martelo não baixa;
4150933;Martelo não baixa;10;* Martelo não baixa * * Operação 10 - Luiz Felipe Ribeiro Meirelles das 05/01/2023 07:40 às   05/01/2023 10:00 - não liga, encontrado modulo danificado, feito   levantamento para compra de outro modulo. * Item 2 * Operação 10 - Maisson Soeiro Dias das 05/01/2023 08:45 às 05/01/2023   09:40 - * Item 3 * Operação 10 - Angelo Luiz Brust das 05/01/2023 11:00 às 05/01/2023 12:40   - * Item 4 * Operação 10 - Angelo Luiz Brust das 05/01/2023 13:40 às 05/01/2023 15:30   - substituido componente danificado da placa de comando digital e   analogico delem, realizado teste funcional e de produção, voltou a   operar normalmente. * Item 5 * Operação 10 - Tobias Rubenich Roehrs das 05/01/2023 07:40 às 05/01/2023   10:00 -placa do modulo com componente danificado * Item 6 * Operação 10 - Tobias Rubenich Roehrs das 05/01/2023 12:30 às 05/01/2023   16:00 - tecnico Angelo substituiu componente da placa, foi montado,   estado e acompanhado * Item 7 * Operação 10 - Luiz Felipe Ribeiro Meirelles das 05/01/2023 14:40 às   05/01/2023 16:00 - auxiliado técnico Tobias na atividade. *;LIDER_SL;LIDER_SL;A;;PVI030;PVI030;1000-FABSL-SLEST;;CONF ENTE IMPR;ENTE CNPA IMPR CAPC DMNV NOLQ;AGMA;05/01/2023;;09/01/2023;09/01/2023;05/01/2023;07:40:00;09/01/2023;00:00:00;13,916;0,0;H;05/01/2023;12/01/2023;PM01;10247907;M2;1000;05/01/2023;08:13:26;09/01/2023;11:04:05;05/01/2023;08:13:26;05/01/2023;16:00:00;7,78;MSEN MSIM ORDA;2025;NÃO LIGA;1062;QUEIMADO(A);;07:00:00;16:28:00;5,50;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Martelo não baixa;
4150934;FALTA DE TENSÃO NOS RELES;10;"* FALTA DE TENSÃO NOS RELES; * Operação 10 - John Cesar Kensy das 05/01/2023 12:00 às 05/01/2023 15:41   - identificado jump na ligação do sensor magnético da porta, refeito   ligação e testado equipamento. * Item 2 * Operação 10 - Luiz Felipe Ribeiro Meirelles das 05/01/2023 11:20 às   05/01/2023 13:00 - auxiliado técnico John na atividade. *";LIDER_SL;LIDER_SL;F;;MAN002;;1000-EXPOR-FERRA;;CNPA ENTE IMPR;ENTE CNPA IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;11:20:00;05/01/2023;15:41:00;5,350;0,0;H;05/01/2023;06/01/2023;PM01;10247904;M2;1000;05/01/2023;08:09:12;06/01/2023;09:47:48;05/01/2023;08:09:12;05/01/2023;15:12:00;7,05;MSEN MSIM ORDA;2002;ALARME;1037;FALTA SINAL DE COMANDO;;00:00:00;00:00:00;0,00;001;Inspeção;0,00;0,00;;0031102902;PB2-82330;;;;;;;;FALTA DE TENSÃO NOS RELES;
4150999;Não está estampando;10;"* Não está estampando; * Operação 10 - Maisson Soeiro Dias das 05/01/2023 09:40 às 05/01/2023   11:00 - Sistema lento, tentado calibrar acumulador e evidenciado que o   mesmo esta furado aumentado o tempo de estampo nos parametros de 2 para   10seg para maquina operar através da bomba somente, solicitado compra   urgente de bexiga nova para acumulado";LIDER_SL;LIDER_SL;A;;DHI003;PER023;1000-FABSL-SLPER-PER023;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;09:40:00;05/01/2023;11:00:00;1,333;0,0;H;05/01/2023;06/01/2023;PM01;10247939;M2;1000;05/01/2023;09:36:30;06/01/2023;09:34:08;05/01/2023;09:36:30;05/01/2023;10:30:00;0,89;MSEN MSIM ORDA;2020;NÃO ESTAMPA;1053;PRESSÃO ACUMULADOR BAIXA;;07:00:00;16:25:00;6,31;001;Inspeção;0,00;0,00;;0031102902;PB2-81260;;;;;;;;Não está estampando;
4151000;problema no load master;10;"* problema no load master; * Operação 10 - Luiz Felipe Ribeiro Meirelles das 05/01/2023 10:00 às   05/01/2023 10:30 - auxiliado técnico Tobias na atividade. * Item 2 * Operação 10 - Tobias Rubenich Roehrs das 05/01/2023 10:05 às 05/01/2023   11:10 - destravado load master *";LIDER_SL;LIDER_SL;A;;LAS005;LAS005;1000-FABSL-SLCOR;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;10:00:00;05/01/2023;11:10:00;1,583;0,0;H;05/01/2023;06/01/2023;PM01;10247942;M2;1000;05/01/2023;10:00:18;10/01/2023;07:42:10;05/01/2023;10:00:18;05/01/2023;10:03:00;0,00;MSEN MSIM ORDA;2001;ABERTO;1057;PROCESSO PRODUÇÃO;;07:00:00;16:28:00;7,11;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;problema no load master;
4151001;Martelo não baixa;10;"* Martelo não baixa; * Operação 10 - Luiz Felipe Ribeiro Meirelles das 05/01/2023 10:30 às   05/01/2023 11:20 - martelo não desce. encontrado fim de curso acionada   fora de posição, colocado fim de corso na posição correta.";LIDER_SL;LIDER_SL;F;;PHI012;PHI012;1000-FABSL-SLEST;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;10:30:00;05/01/2023;11:20:00;0,833;0,0;H;05/01/2023;06/01/2023;PM01;10247941;M2;1000;05/01/2023;09:39:43;10/01/2023;07:35:15;05/01/2023;08:00:00;05/01/2023;08:46:00;0,00;MSEN MSIM ORDA;2012;FOLGA;1016;DESAJUSTE MECÂNICO;;07:00:00;16:28:00;5,50;001;Inspeção;0,00;0,00;;0031102902;PB2-81230;;;;;;;;Martelo não baixa;
4151002;Sensor não faz leitura da chapa;10;"* Sensor não faz leitura da chapa; * ,,,,Operação 10 - Tobias Rubenich Roehrs das 05/01/2023 10:03 às   05/01/2023 10:04 - chamado aberto errado";LIDER_SL;LIDER_SL;A;;LUB021;PER021;1000-FABSL-SLPER-PER021;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;10:03:00;05/01/2023;10:04:00;0,017;0,0;H;05/01/2023;06/01/2023;PM01;10247943;M2;1000;05/01/2023;10:02:17;10/01/2023;07:42:48;05/01/2023;10:02:17;05/01/2023;10:03:00;0,00;MSEN MSIM ORDA;2001;ABERTO;1057;PROCESSO PRODUÇÃO;;07:00:00;16:25:00;6,31;001;Inspeção;0,00;0,00;;0031102902;PB2-81260;;;;;;;;Sensor não faz leitura da chapa;
4151003;problema de fixação cabeçote;10;* problema de fixação cabeçote * Operação 10 - Rafael Welter da Rocha das 05/01/2023 16:20 às 05/01/2023   21:00 - * Item 2 * Operação 10 - Rafael Welter da Rocha das 05/01/2023 22:30 às 05/01/2023   23:59 - * Item 3 * Operação 10 - Rafael Welter da Rocha das 06/01/2023 00:00 às 06/01/2023   01:50 - Cabeçote não esta travando, foi visto que estava com o nível de   óleo baixo, ao fazer reposição começou a vazar pelos guias ate ficar   novamente com nível insuficiente para fazer travamento, começado a fazer   desmontagem do cabeçote para conter vazamento. A atividade tera   continuidade amanha no segundo turno. * Item 4 * Operação 10 - Angelo Luiz Brust das 10/01/2023 08:30 às 10/01/2023 12:30   - * Item 5 * Operação 10 - Angelo Luiz Brust das 10/01/2023 13:30 às 10/01/2023 16:36   - foi verificado se há vedações nos eixos, após desmontagem foi   verificado que não há vedações no sistema, é montado mecanicamente para   não ocorrer vazamentos pela flange onde acopla o rolamento, foi iniciada   remontagem da maquina, falta ligar o motor da bomba, e também, ajustar   os cabos de ligação dos transformadores solenoide. Repor também óleo,   ate 1/3 do visor do nível e realizar teste de funcionamento. * Item 6 * Operação 10 - Angelo Luiz Brust das 11/01/2023 07:40 às 11/01/2023 11:00   - * Item 7 * Operação 10 - Angelo Luiz Brust das 12/01/2023 15:00 às 12/01/2023 17:39   - foi encontrado cabo do transofrmador/solenoide rompido, realizado   reparo testado e liberado equipamento. *;LIDER_SL;LIDER_SL;E;;FUC065;FUC065;1000-EXPOR-FERRA;;CONF ENTE IMPR;ENTE CONF IMPR CAPC NOLQ SCDM;EXEC;05/01/2023;;05/01/2023;05/01/2023;05/01/2023;16:20:00;12/01/2023;17:39:00;21,066;0,0;H;05/01/2023;13/01/2023;PM01;10247957;M2;1000;05/01/2023;13:03:13;13/01/2023;13:43:30;05/01/2023;13:03:13;12/01/2023;17:25:00;172,36;MSEN MSIM ORDA;2017;NÃO ACIONA;1007;CABO ROMPIDO;;07:00:00;16:28:00;2,03;001;Inspeção;0,00;0,00;;0031102902;PB2-81140;;;;;;;;problema de fixação cabeçote;
